instance_id,family_id,parameter_source,old_type,old_tier,source_role,radius_km,thickness_km,dVs_percent,dVp_percent,dRho_percent,lateral_taper_km,top_taper_km,original_endpoint,within_family_interpolation,interpolation_weight,evidence_source,provenance_note
ULVZ049,F_small_dvs,family_interpolant,NONE,,project_sensitivity,240.0000,15.0000,-24.0909,0.0000,0.0000,0.0000,0.0000,false,true,0.70454545,results/ulvz_ml_parameter_value_redesign_upgrade_20260814T162404Z,project sensitivity design; production-compatible circular uniform-body interface
ULVZ050,F_small_dvs,family_interpolant,NONE,,project_sensitivity,240.0000,15.0000,-25.0000,0.0000,0.0000,0.0000,0.0000,false,true,0.75000000,results/ulvz_ml_parameter_value_redesign_upgrade_20260814T162404Z,project sensitivity design; production-compatible circular uniform-body interface
ULVZ051,F_small_dvs,family_interpolant,NONE,,project_sensitivity,240.0000,15.0000,-25.9091,0.0000,0.0000,0.0000,0.0000,false,true,0.79545455,results/ulvz_ml_parameter_value_redesign_upgrade_20260814T162404Z,project sensitivity design; production-compatible circular uniform-body interface
ULVZ052,F_small_dvs,family_interpolant,NONE,,project_sensitivity,240.0000,15.0000,-26.8182,0.0000,0.0000,0.0000,0.0000,false,true,0.84090909,results/ulvz_ml_parameter_value_redesign_upgrade_20260814T162404Z,project sensitivity design; production-compatible circular uniform-body interface
ULVZ053,F_small_dvs,family_interpolant,NONE,,project_sensitivity,240.0000,15.0000,-27.7273,0.0000,0.0000,0.0000,0.0000,false,true,0.88636364,results/ulvz_ml_parameter_value_redesign_upgrade_20260814T162404Z,project sensitivity design; production-compatible circular uniform-body interface
ULVZ054,F_small_dvs,family_interpolant,NONE,,project_sensitivity,240.0000,15.0000,-28.6364,0.0000,0.0000,0.0000,0.0000,false,true,0.93181818,results/ulvz_ml_parameter_value_redesign_upgrade_20260814T162404Z,project sensitivity design; production-compatible circular uniform-body interface
ULVZ055,F_small_dvs,family_interpolant,NONE,,project_sensitivity,240.0000,15.0000,-29.5455,0.0000,0.0000,0.0000,0.0000,false,true,0.97727273,results/ulvz_ml_parameter_value_redesign_upgrade_20260814T162404Z,project sensitivity design; production-compatible circular uniform-body interface
ULVZ056,F_p_control,family_interpolant,NONE,,project_sensitivity,400.0000,15.0000,-25.0000,-0.3409,0.0000,0.0000,0.0000,false,true,0.02272727,results/ulvz_ml_parameter_value_redesign_20260814T153654Z,project sensitivity design; production-compatible circular uniform-body interface
ULVZ057,F_p_control,family_interpolant,NONE,,project_sensitivity,400.0000,15.0000,-25.0000,-1.0227,0.0000,0.0000,0.0000,false,true,0.06818182,results/ulvz_ml_parameter_value_redesign_20260814T153654Z,project sensitivity design; production-compatible circular uniform-body interface
ULVZ058,F_p_control,family_interpolant,NONE,,project_sensitivity,400.0000,15.0000,-25.0000,-1.7045,0.0000,0.0000,0.0000,false,true,0.11363636,results/ulvz_ml_parameter_value_redesign_20260814T153654Z,project sensitivity design; production-compatible circular uniform-body interface
ULVZ059,F_p_control,family_interpolant,NONE,,project_sensitivity,400.0000,15.0000,-25.0000,-2.3864,0.0000,0.0000,0.0000,false,true,0.15909091,results/ulvz_ml_parameter_value_redesign_20260814T153654Z,project sensitivity design; production-compatible circular uniform-body interface
ULVZ060,F_p_control,family_interpolant,NONE,,project_sensitivity,400.0000,15.0000,-25.0000,-3.0682,0.0000,0.0000,0.0000,false,true,0.20454545,results/ulvz_ml_parameter_value_redesign_20260814T153654Z,project sensitivity design; production-compatible circular uniform-body interface
ULVZ061,F_p_control,family_interpolant,NONE,,project_sensitivity,400.0000,15.0000,-25.0000,-3.7500,0.0000,0.0000,0.0000,false,true,0.25000000,results/ulvz_ml_parameter_value_redesign_20260814T153654Z,project sensitivity design; production-compatible circular uniform-body interface
ULVZ062,F_p_control,family_interpolant,NONE,,project_sensitivity,400.0000,15.0000,-25.0000,-4.4318,0.0000,0.0000,0.0000,false,true,0.29545455,results/ulvz_ml_parameter_value_redesign_20260814T153654Z,project sensitivity design; production-compatible circular uniform-body interface
ULVZ063,F_p_control,family_interpolant,NONE,,project_sensitivity,400.0000,15.0000,-25.0000,-5.1136,0.0000,0.0000,0.0000,false,true,0.34090909,results/ulvz_ml_parameter_value_redesign_20260814T153654Z,project sensitivity design; production-compatible circular uniform-body interface
ULVZ064,F_p_control,family_interpolant,NONE,,project_sensitivity,400.0000,15.0000,-25.0000,-5.7955,0.0000,0.0000,0.0000,false,true,0.38636364,results/ulvz_ml_parameter_value_redesign_20260814T153654Z,project sensitivity design; production-compatible circular uniform-body interface
ULVZ065,F_p_control,family_interpolant,NONE,,project_sensitivity,400.0000,15.0000,-25.0000,-6.4773,0.0000,0.0000,0.0000,false,true,0.43181818,results/ulvz_ml_parameter_value_redesign_20260814T153654Z,project sensitivity design; production-compatible circular uniform-body interface
ULVZ066,F_p_control,family_interpolant,NONE,,project_sensitivity,400.0000,15.0000,-25.0000,-7.1591,0.0000,0.0000,0.0000,false,true,0.47727273,results/ulvz_ml_parameter_value_redesign_20260814T153654Z,project sensitivity design; production-compatible circular uniform-body interface
ULVZ067,F_p_control,family_interpolant,NONE,,project_sensitivity,400.0000,15.0000,-25.0000,-7.8409,0.0000,0.0000,0.0000,false,true,0.52272727,results/ulvz_ml_parameter_value_redesign_20260814T153654Z,project sensitivity design; production-compatible circular uniform-body interface
ULVZ068,F_p_control,family_interpolant,NONE,,project_sensitivity,400.0000,15.0000,-25.0000,-8.5227,0.0000,0.0000,0.0000,false,true,0.56818182,results/ulvz_ml_parameter_value_redesign_20260814T153654Z,project sensitivity design; production-compatible circular uniform-body interface
ULVZ069,F_p_control,family_interpolant,NONE,,project_sensitivity,400.0000,15.0000,-25.0000,-9.2045,0.0000,0.0000,0.0000,false,true,0.61363636,results/ulvz_ml_parameter_value_redesign_20260814T153654Z,project sensitivity design; production-compatible circular uniform-body interface
ULVZ070,F_p_control,family_interpolant,NONE,,project_sensitivity,400.0000,15.0000,-25.0000,-9.8864,0.0000,0.0000,0.0000,false,true,0.65909091,results/ulvz_ml_parameter_value_redesign_20260814T153654Z,project sensitivity design; production-compatible circular uniform-body interface
ULVZ071,F_p_control,family_interpolant,NONE,,project_sensitivity,400.0000,15.0000,-25.0000,-10.5682,0.0000,0.0000,0.0000,false,true,0.70454545,results/ulvz_ml_parameter_value_redesign_20260814T153654Z,project sensitivity design; production-compatible circular uniform-body interface
ULVZ072,F_p_control,family_interpolant,NONE,,project_sensitivity,400.0000,15.0000,-25.0000,-11.2500,0.0000,0.0000,0.0000,false,true,0.75000000,results/ulvz_ml_parameter_value_redesign_20260814T153654Z,project sensitivity design; production-compatible circular uniform-body interface
ULVZ073,F_p_control,family_interpolant,NONE,,project_sensitivity,400.0000,15.0000,-25.0000,-11.9318,0.0000,0.0000,0.0000,false,true,0.79545455,results/ulvz_ml_parameter_value_redesign_20260814T153654Z,project sensitivity design; production-compatible circular uniform-body interface
ULVZ074,F_p_control,family_interpolant,NONE,,project_sensitivity,400.0000,15.0000,-25.0000,-12.6136,0.0000,0.0000,0.0000,false,true,0.84090909,results/ulvz_ml_parameter_value_redesign_20260814T153654Z,project sensitivity design; production-compatible circular uniform-body interface
ULVZ075,F_p_control,family_interpolant,NONE,,project_sensitivity,400.0000,15.0000,-25.0000,-13.2955,0.0000,0.0000,0.0000,false,true,0.88636364,results/ulvz_ml_parameter_value_redesign_20260814T153654Z,project sensitivity design; production-compatible circular uniform-body interface
ULVZ076,F_p_control,family_interpolant,NONE,,project_sensitivity,400.0000,15.0000,-25.0000,-13.9773,0.0000,0.0000,0.0000,false,true,0.93181818,results/ulvz_ml_parameter_value_redesign_20260814T153654Z,project sensitivity design; production-compatible circular uniform-body interface
ULVZ077,F_p_control,family_interpolant,NONE,,project_sensitivity,400.0000,15.0000,-25.0000,-14.6591,0.0000,0.0000,0.0000,false,true,0.97727273,results/ulvz_ml_parameter_value_redesign_20260814T153654Z,project sensitivity design; production-compatible circular uniform-body interface
ULVZ078,F_small_thickness_velocity,family_interpolant,NONE,,project_sensitivity,240.0000,10.2273,-20.2273,0.0000,0.0000,0.0000,0.0000,false,true,0.02272727,batch_02::B02-E152; batch_02::B02-E104,project sensitivity design; production-compatible circular uniform-body interface
ULVZ079,F_small_thickness_velocity,family_interpolant,NONE,,project_sensitivity,240.0000,10.6818,-20.6818,0.0000,0.0000,0.0000,0.0000,false,true,0.06818182,batch_02::B02-E152; batch_02::B02-E104,project sensitivity design; production-compatible circular uniform-body interface
ULVZ080,F_small_thickness_velocity,family_interpolant,NONE,,project_sensitivity,240.0000,11.1364,-21.1364,0.0000,0.0000,0.0000,0.0000,false,true,0.11363636,batch_02::B02-E152; batch_02::B02-E104,project sensitivity design; production-compatible circular uniform-body interface
ULVZ081,F_small_thickness_velocity,family_interpolant,NONE,,project_sensitivity,240.0000,11.5909,-21.5909,0.0000,0.0000,0.0000,0.0000,false,true,0.15909091,batch_02::B02-E152; batch_02::B02-E104,project sensitivity design; production-compatible circular uniform-body interface
ULVZ082,F_small_thickness_velocity,family_interpolant,NONE,,project_sensitivity,240.0000,12.0455,-22.0455,0.0000,0.0000,0.0000,0.0000,false,true,0.20454545,batch_02::B02-E152; batch_02::B02-E104,project sensitivity design; production-compatible circular uniform-body interface
ULVZ083,F_small_thickness_velocity,family_interpolant,NONE,,project_sensitivity,240.0000,12.5000,-22.5000,0.0000,0.0000,0.0000,0.0000,false,true,0.25000000,batch_02::B02-E152; batch_02::B02-E104,project sensitivity design; production-compatible circular uniform-body interface
ULVZ084,F_small_thickness_velocity,family_interpolant,NONE,,project_sensitivity,240.0000,12.9545,-22.9545,0.0000,0.0000,0.0000,0.0000,false,true,0.29545455,batch_02::B02-E152; batch_02::B02-E104,project sensitivity design; production-compatible circular uniform-body interface
ULVZ085,F_small_thickness_velocity,family_interpolant,NONE,,project_sensitivity,240.0000,13.4091,-23.4091,0.0000,0.0000,0.0000,0.0000,false,true,0.34090909,batch_02::B02-E152; batch_02::B02-E104,project sensitivity design; production-compatible circular uniform-body interface
ULVZ086,F_small_thickness_velocity,family_interpolant,NONE,,project_sensitivity,240.0000,13.8636,-23.8636,0.0000,0.0000,0.0000,0.0000,false,true,0.38636364,batch_02::B02-E152; batch_02::B02-E104,project sensitivity design; production-compatible circular uniform-body interface
ULVZ087,F_small_thickness_velocity,family_interpolant,NONE,,project_sensitivity,240.0000,14.3182,-24.3182,0.0000,0.0000,0.0000,0.0000,false,true,0.43181818,batch_02::B02-E152; batch_02::B02-E104,project sensitivity design; production-compatible circular uniform-body interface
ULVZ088,F_small_thickness_velocity,family_interpolant,NONE,,project_sensitivity,240.0000,14.7727,-24.7727,0.0000,0.0000,0.0000,0.0000,false,true,0.47727273,batch_02::B02-E152; batch_02::B02-E104,project sensitivity design; production-compatible circular uniform-body interface
ULVZ089,F_small_thickness_velocity,family_interpolant,NONE,,project_sensitivity,240.0000,15.2273,-25.2273,0.0000,0.0000,0.0000,0.0000,false,true,0.52272727,batch_02::B02-E152; batch_02::B02-E104,project sensitivity design; production-compatible circular uniform-body interface
ULVZ090,F_small_thickness_velocity,family_interpolant,NONE,,project_sensitivity,240.0000,15.6818,-25.6818,0.0000,0.0000,0.0000,0.0000,false,true,0.56818182,batch_02::B02-E152; batch_02::B02-E104,project sensitivity design; production-compatible circular uniform-body interface
ULVZ091,F_small_thickness_velocity,family_interpolant,NONE,,project_sensitivity,240.0000,16.1364,-26.1364,0.0000,0.0000,0.0000,0.0000,false,true,0.61363636,batch_02::B02-E152; batch_02::B02-E104,project sensitivity design; production-compatible circular uniform-body interface
ULVZ092,F_small_thickness_velocity,family_interpolant,NONE,,project_sensitivity,240.0000,16.5909,-26.5909,0.0000,0.0000,0.0000,0.0000,false,true,0.65909091,batch_02::B02-E152; batch_02::B02-E104,project sensitivity design; production-compatible circular uniform-body interface
ULVZ093,F_small_thickness_velocity,family_interpolant,NONE,,project_sensitivity,240.0000,17.0455,-27.0455,0.0000,0.0000,0.0000,0.0000,false,true,0.70454545,batch_02::B02-E152; batch_02::B02-E104,project sensitivity design; production-compatible circular uniform-body interface
ULVZ094,F_small_thickness_velocity,family_interpolant,NONE,,project_sensitivity,240.0000,17.5000,-27.5000,0.0000,0.0000,0.0000,0.0000,false,true,0.75000000,batch_02::B02-E152; batch_02::B02-E104,project sensitivity design; production-compatible circular uniform-body interface
ULVZ095,F_small_thickness_velocity,family_interpolant,NONE,,project_sensitivity,240.0000,17.9545,-27.9545,0.0000,0.0000,0.0000,0.0000,false,true,0.79545455,batch_02::B02-E152; batch_02::B02-E104,project sensitivity design; production-compatible circular uniform-body interface
ULVZ096,F_small_thickness_velocity,family_interpolant,NONE,,project_sensitivity,240.0000,18.4091,-28.4091,0.0000,0.0000,0.0000,0.0000,false,true,0.84090909,batch_02::B02-E152; batch_02::B02-E104,project sensitivity design; production-compatible circular uniform-body interface
ULVZ097,F_small_thickness_velocity,family_interpolant,NONE,,project_sensitivity,240.0000,18.8636,-28.8636,0.0000,0.0000,0.0000,0.0000,false,true,0.88636364,batch_02::B02-E152; batch_02::B02-E104,project sensitivity design; production-compatible circular uniform-body interface
ULVZ098,F_small_thickness_velocity,family_interpolant,NONE,,project_sensitivity,240.0000,19.3182,-29.3182,0.0000,0.0000,0.0000,0.0000,false,true,0.93181818,batch_02::B02-E152; batch_02::B02-E104,project sensitivity design; production-compatible circular uniform-body interface
ULVZ099,F_small_thickness_velocity,family_interpolant,NONE,,project_sensitivity,240.0000,19.7727,-29.7727,0.0000,0.0000,0.0000,0.0000,false,true,0.97727273,batch_02::B02-E152; batch_02::B02-E104,project sensitivity design; production-compatible circular uniform-body interface
ULVZ100,F_density_sensitivity,survey_family_sample,NONE,,project_sensitivity,240.0000,15.0000,-20.0000,0.0000,0.5882,0.0000,0.0000,false,true,0.02941176,S04_DRHO10/S05_DRHO20; density is sensitivity input,project sensitivity design; production-compatible circular uniform-body interface
ULVZ101,F_density_sensitivity,survey_family_sample,NONE,,project_sensitivity,240.0000,15.0000,-20.0000,0.0000,1.7647,0.0000,0.0000,false,true,0.08823529,S04_DRHO10/S05_DRHO20; density is sensitivity input,project sensitivity design; production-compatible circular uniform-body interface
ULVZ102,F_density_sensitivity,survey_family_sample,NONE,,project_sensitivity,240.0000,15.0000,-20.0000,0.0000,2.9412,0.0000,0.0000,false,true,0.14705882,S04_DRHO10/S05_DRHO20; density is sensitivity input,project sensitivity design; production-compatible circular uniform-body interface
ULVZ103,F_density_sensitivity,survey_family_sample,NONE,,project_sensitivity,240.0000,15.0000,-20.0000,0.0000,4.1176,0.0000,0.0000,false,true,0.20588235,S04_DRHO10/S05_DRHO20; density is sensitivity input,project sensitivity design; production-compatible circular uniform-body interface
ULVZ104,F_density_sensitivity,survey_family_sample,NONE,,project_sensitivity,240.0000,15.0000,-20.0000,0.0000,5.2941,0.0000,0.0000,false,true,0.26470588,S04_DRHO10/S05_DRHO20; density is sensitivity input,project sensitivity design; production-compatible circular uniform-body interface
ULVZ105,F_density_sensitivity,survey_family_sample,NONE,,project_sensitivity,240.0000,15.0000,-20.0000,0.0000,6.4706,0.0000,0.0000,false,true,0.32352941,S04_DRHO10/S05_DRHO20; density is sensitivity input,project sensitivity design; production-compatible circular uniform-body interface
ULVZ106,F_density_sensitivity,survey_family_sample,NONE,,project_sensitivity,240.0000,15.0000,-20.0000,0.0000,7.6471,0.0000,0.0000,false,true,0.38235294,S04_DRHO10/S05_DRHO20; density is sensitivity input,project sensitivity design; production-compatible circular uniform-body interface
ULVZ107,F_density_sensitivity,survey_family_sample,NONE,,project_sensitivity,240.0000,15.0000,-20.0000,0.0000,8.8235,0.0000,0.0000,false,true,0.44117647,S04_DRHO10/S05_DRHO20; density is sensitivity input,project sensitivity design; production-compatible circular uniform-body interface
ULVZ108,F_density_sensitivity,survey_family_sample,NONE,,project_sensitivity,240.0000,15.0000,-20.0000,0.0000,10.0000,0.0000,0.0000,false,true,0.50000000,S04_DRHO10/S05_DRHO20; density is sensitivity input,project sensitivity design; production-compatible circular uniform-body interface
